! The timeseries uses historical unimpaired flows for the water year for all months to represent perfect foresight.
! The Q0 historical unimpaired flow was multiplied by the ratio of Q5/Q0 American River monthly inflow (I8 + I9 + I300) to get the Q5 Timeseries
AR_B120
Year    HIST
1921    3204	!Not changed for Q5
1922	3671
1923	2869
1924	554
1925	2757
1926	1353
1927	3840
1928	2463
1929	1092
1930	1632
1931	717
1932	2667
1933	1110
1934	1176
1935	2600
1936	3746
1937	2330
1938	4923
1939	1004
1940	3655
1941	3329
1942	4228
1943	3852
1944	1401
1945	2581
1946	3094
1947	1375
1948	2244
1949	1795
1950	2607
1951	4667
1952	5256
1953	2534
1954	1905
1955	1466
1956	4784
1957	2057
1958	4057
1959	1218
1960	1710
1961	987
1962	2389
1963	3599
1964	1622
1965	4559
1966	1332
1967	3950
1968	1718
1969	5078
1970	3489
1971	2996
1972	1813
1973	2975
1974	4326
1975	2645
1976	878
1977	228
1978	3419
1979	2052
1980	3954
1981	1119
1982	6976
1983	6635
1984	4430
1985	1687
1986	4760
1987	866
1988	932
1989	2595
1990	1044
1991	1299
1992	1030
1993	3769
1994	917
1995	5672
1996	3512
1997	5062
1998	4551
1999	3292
2000	2817
2001	1022
2002	2044
2003	2259

