cvp_avail_lookup
wsi                 avail
0         0
500       250
1000      500
1500      750
2000      1250
2500      1600
3000      1850
3500      1900
4000      1950
4500      1975
5000      2050
5250      2100
5500      2200
5750      2300
6000      2400
6500      2600
7000      3000
7500      3550
8000      4500
8500      5800
9000      7000
9500      7700
10000     8400
10500     9200
11000     10000
11500     11000
12000     11500
12500     11750
13000     12000
13500     12100
14000     12100
14500     12200
15000     12200
15500     12200
16000     12200
16500     12200
17000     12200
17500     12200
18000     12200
18500     12200
19000     12200
19500     12200
20000     12200
