! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! 2005 Level of Development Assumptions
! source spreadsheet: BST_SWP_SOD_2019DCR_July-24-2020.xlsm
swp_3pattern_SLRule
month            percent          demand           b4lowpoint
                8               30            311.3           2009.5
                9               30            529.6           1698.2
               10               30            610.7           1168.5
               11               30            557.9            557.9
               12               30            392.1            392.1
                8               50            352.9           1943.7
                9               50            521.9           1590.8
               10               50            561.4           1069.0
               11               50            507.5            507.5
               12               50            398.7            398.7
                8               60           324.59          1847.07
                9               60           473.55          1522.48
               10               60           536.26          1048.92
               11               60           512.66           512.66
               12               60           426.56           426.56
                8              100            262.1           1658.5
                9              100            439.2           1396.5
               10              100            473.6            957.3
               11              100            483.7            483.7
               12              100            407.7            407.7
