wsi_di_SWP
wsi                   di
0.0        0.0
500.0        810.32594971
1000.0        810.32594971
1500.0        810.32594971
2000.0        810.32594971
2500.0        1081.13347728
3000.0        1760.08754147
3500.0        2596.86828791
4000.0        3268.35822
4500.0        4282.8989379
5000.0        5134.07016778
5500.0        5860.01103438
6000.0        6921.83272349
6500.0        7348.4491016
7000.0        7824.66899809
7500.0        7933.11075066
8000.0        7933.11075066
8500.0        7933.11075066
9000.0        7933.11075066
9500.0        7933.11075066
10000.0        7933.11075066
10500.0        7933.11075066
11000.0        7933.11075066
11500.0        7933.11075066
12000.0        7933.11075066
12500.0        7933.11075066
13000.0        7933.11075066
13500.0        7933.11075066
14000.0        7933.11075066
14500.0        7933.11075066
15000.0        7933.11075066
15500.0        7933.11075066
16000.0        7933.11075066
16500.0        7933.11075066
17000.0        7933.11075066
17500.0        7933.11075066
18000.0        7933.11075066
18500.0        7933.11075066
19000.0        7933.11075066
19500.0        7933.11075066
20000.0        7933.11075066
