 WARNING:

AD_TERM SHORTAGES and/or RELAXATIONS larger than 0.01 OCCUR!

YYYY	MM	Kswck	RedBlf	Wilkns	SacFea	SacAme	YoloBP	Therm	YubFea	Nimbus	Hst	ANN_RL	MRDO_RL	PosSum	NegSum	
1926	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.48	0.0	0.0	0.0	7.48	0.0	
1926	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.95	62.85	0.0	0.0	70.8	0.0	
1928	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.78	67.3	0.0	0.0	75.09	0.0	
1929	2	3.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.63	0.0	
1929	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.77	59.5	0.0	0.0	67.27	0.0	
1929	12	8.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.95	0.0	
1930	1	6.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.46	0.0	
1930	2	4.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.4	0.0	
1930	3	2.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.01	0.0	
1930	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.71	0.0	0.0	0.0	7.71	0.0	
1931	3	2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1	0.0	
1931	4	1.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.31	0.0	
1931	11	10.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.18	0.0	0.0	59.99	0.0	
1931	12	9.29	0.0	420.98	0.0	0.0	0.0	0.0	168.58	0.0	69.06	0.0	0.0	667.91	0.0	
1932	1	6.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.62	0.0	0.0	0.0	9.64	0.0	
1932	2	3.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.24	0.0	
1932	3	1.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.75	0.0	
1933	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.2	22.19	0.0	0.0	30.4	0.0	
1934	1	6.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.19	0.0	
1934	2	5.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.29	0.0	
1934	3	2.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.27	0.0	
1934	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.07	0.0	0.0	0.0	7.07	0.0	
